,vendor_id,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,Manhattan distance (miles),pickup_hour_min,pickup_hour,pickup_month,pickup_day,pickup_weekday,pickup_area_0,dropoff_area_0,pickup_area_1,dropoff_area_1,pickup_area_2,dropoff_area_2,pickup_area_3,dropoff_area_3,pickup_area_4,dropoff_area_4,pickup_area_5,dropoff_area_5,pickup_area_6,dropoff_area_6,pickup_area_7,dropoff_area_7,pickup_area_8,dropoff_area_8,pickup_area_9,dropoff_area_9,pickup_area_10,dropoff_area_10,pickup_area_11,dropoff_area_11,pickup_area_12,dropoff_area_12,pickup_area_13,dropoff_area_13,pickup_area_14,dropoff_area_14,trip_duration
176086,1,1,-73.952392578125,40.78987503051758,-73.97895812988281,40.74734115600586,0,4.328187942504883,192,6,1,31,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,782
864643,1,1,-73.99354553222656,40.73341369628906,-74.00668334960938,40.7362060546875,0,0.8822739720344543,364,15,3,25,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345
356912,2,3,-73.99858856201172,40.734840393066406,-73.99703216552734,40.73701095581055,0,0.23146666586399078,559,22,2,26,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
330235,1,1,-73.97171783447266,40.75698471069336,-73.98857116699219,40.74586868286133,0,1.6513426303863525,563,22,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,480
1063477,1,1,-73.98577880859375,40.74486541748047,-73.99725341796875,40.73346710205078,0,1.388703465461731,495,20,3,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,385
131224,1,1,-73.96127319335938,40.775230407714844,-74.00816345214844,40.74553298950195,0,4.508898735046387,328,12,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1542
230326,1,1,-73.95585632324219,40.779685974121094,-73.97795104980469,40.7419319152832,0,3.764068603515625,211,7,1,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,760
1014215,2,1,-73.78968811035156,40.64664077758789,-74.00335693359375,40.728458404541016,0,16.87544822692871,332,12,5,17,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2946
145244,2,2,-73.95851135253906,40.759979248046875,-73.974853515625,40.753021240234375,0,1.3375685214996338,541,21,4,12,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419
773096,2,6,-73.9847183227539,40.748348236083984,-73.97164154052734,40.75307846069336,0,1.012635350227356,397,15,5,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,419
685112,2,1,-74.0057601928711,40.74557876586914,-73.97669982910156,40.75639343261719,0,2.271320104598999,222,8,3,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159
989193,2,3,-73.99224853515625,40.749481201171875,-73.9911880493164,40.73603057861328,0,0.9837787747383118,476,18,6,8,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,640
137818,2,1,-73.95610809326172,40.78459167480469,-73.97151947021484,40.79533004760742,0,1.5492932796478271,281,10,1,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,415
188116,1,1,-73.96247863769531,40.76729965209961,-73.95861053466797,40.772705078125,0,0.5759210586547852,455,17,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,107
817885,2,1,-74.01573181152344,40.71445846557617,-73.99085235595703,40.74531936645508,0,3.4357526302337646,559,21,1,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,760
903300,1,2,-73.96062469482422,40.76824188232422,-73.97936248779297,40.749629974365234,0,2.2672934532165527,462,18,3,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1060
265037,2,1,-73.97554016113281,40.78944778442383,-73.96223449707031,40.77634048461914,0,1.6022623777389526,301,11,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,596
199730,2,1,-73.98831176757812,40.75939178466797,-73.94819641113281,40.82973098754883,0,6.958438396453857,107,3,1,31,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1027
853467,2,1,-73.97783660888672,40.77366256713867,-73.97150421142578,40.76861572265625,0,0.6804295778274536,475,18,5,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,539
785328,1,1,-73.9799575805664,40.786048889160156,-73.97749328613281,40.77387237548828,0,0.9694636464118958,288,11,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586
94762,2,1,-73.9818344116211,40.77132034301758,-74.00994110107422,40.7158088684082,0,5.304898738861084,536,20,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1132
30738,2,1,-74.00188446044922,40.740543365478516,-73.93817901611328,40.846839904785156,0,10.678297996520996,460,18,4,8,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3191
1042953,2,1,-73.98422241210938,40.72146224975586,-73.99455261230469,40.74057388305664,0,1.8610713481903076,319,13,1,2,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726
1096285,2,1,-73.99629211425781,40.72539138793945,-74.01017761230469,40.71207809448242,0,1.6475751399993896,435,17,6,4,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,447
553921,1,1,-74.01123046875,40.70288848876953,-73.96906280517578,40.757652282714844,0,5.993196964263916,385,16,5,29,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,723
452173,2,1,-73.98148345947266,40.741241455078125,-73.9555435180664,40.804569244384766,0,5.7312140464782715,97,2,5,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,935
89287,2,1,-73.98224639892578,40.774410247802734,-73.96798706054688,40.78705978393555,0,1.620859146118164,340,14,2,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,421
774879,2,1,-73.98334503173828,40.73849868774414,-73.97541809082031,40.75204086303711,0,1.3504934310913086,200,7,6,22,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,225
